runtime,number_of_splits,number_of_backtracks,number_of_simplifications
1.094778060913086,1,1,3
1.1377902030944824,0,0,1
1.3449358940124512,5,5,11
1.0837695598602295,0,0,1
1.1408288478851318,0,0,1
1.1207962036132812,1,0,2
1.0407390594482422,0,0,1
1.1888439655303955,0,0,1
1.1117901802062988,0,0,1
1.221886396408081,3,2,6
2.0344455242156982,11,7,19
1.0387370586395264,0,0,1
1.1348247528076172,2,0,3
1.2048554420471191,1,1,3
1.2298738956451416,4,4,9
1.4710450172424316,5,3,9
1.181840419769287,0,0,1
1.2328760623931885,0,0,1
1.066758155822754,0,0,1
1.0927760601043701,0,0,1
1.0197217464447021,0,0,1
1.515087604522705,6,1,8
