runtime,number_of_splits,number_of_backtracks,number_of_simplifications
1.077763557434082,1,1,3
2.073452949523926,17,15,33
1.111788272857666,1,0,2
1.5130722522735596,5,5,11
1.2298712730407715,2,1,4
1.1868417263031006,1,0,2
1.1948473453521729,4,3,8
1.1728501319885254,4,4,9
1.65915846824646,11,9,21
1.1497976779937744,4,3,8
1.1007983684539795,2,0,3
0.9536762237548828,2,2,5
1.1367874145507812,2,2,5
0.9787123203277588,1,1,3
2.5918188095092773,17,14,32
1.0757629871368408,1,1,3
1.0527288913726807,2,2,5
1.1528184413909912,2,0,3
1.4590330123901367,8,5,14
1.059769868850708,1,1,3
1.0817663669586182,1,1,3
1.2318921089172363,4,3,8
4.442131757736206,42,40,83
1.016702651977539,1,0,2
1.3809595108032227,7,5,13
1.3239374160766602,7,5,13
1.1858408451080322,4,1,6
1.2028529644012451,3,2,6
1.0747439861297607,2,2,5
1.4650206565856934,8,5,14
1.2178637981414795,6,2,9
1.0927934646606445,4,3,8
1.2789068222045898,4,2,7
2.249595880508423,18,16,35
1.0467422008514404,2,2,5
1.1628246307373047,3,0,4
2.3826894760131836,11,7,19
1.8673059940338135,12,11,24
1.2829093933105469,3,1,5
1.032731294631958,1,0,2
1.161834955215454,7,1,9
1.130814552307129,2,0,3
1.1168079376220703,1,1,3
0.9987080097198486,1,0,2
1.820291519165039,14,12,27
1.0917751789093018,1,1,3
1.2539074420928955,2,0,3
1.071760892868042,1,1,3
1.108785629272461,2,2,5
1.2499051094055176,8,7,16
1.1117868423461914,3,1,5
1.04974365234375,2,1,4
1.2618963718414307,3,1,5
1.2999215126037598,7,4,12
0.9766926765441895,1,0,2
1.1197943687438965,3,1,5
1.2088565826416016,3,2,6
1.4360182285308838,6,6,13
0.9426684379577637,1,0,2
1.3659498691558838,5,2,8
1.8272957801818848,7,6,14
1.142810344696045,3,2,6
1.047743797302246,1,1,3
1.2598767280578613,3,3,7
1.0477256774902344,1,0,2
1.0497443675994873,1,1,3
1.4390201568603516,6,5,12
1.126817226409912,3,2,6
1.3479557037353516,3,2,6
1.156820297241211,2,1,4
2.979114294052124,22,20,43
1.817270278930664,2,2,5
1.6942012310028076,1,0,2
1.3429534435272217,4,2,7
2.3736824989318848,12,10,23
1.8983464241027832,2,1,4
1.4360175132751465,3,1,5
1.8823165893554688,4,3,8
1.2538933753967285,4,2,7
1.0827677249908447,2,0,3
1.494058609008789,5,4,10
1.1088051795959473,1,0,2
1.1117885112762451,5,2,8
1.2308714389801025,5,4,10
1.3559792041778564,4,2,7
1.4510281085968018,2,1,4
1.4430227279663086,1,0,2
1.5310680866241455,1,1,3
1.1648244857788086,4,3,8
2.1165194511413574,9,6,16
1.2078566551208496,3,2,6
1.2218658924102783,3,2,6
1.1728134155273438,5,5,11
1.206855058670044,5,5,11
1.122795581817627,2,2,5
1.1628246307373047,3,3,7
