runtime,number_of_splits,number_of_backtracks,number_of_simplifications
1.1598241329193115,1,1,3
1.216864824295044,0,0,1
1.4650557041168213,5,5,11
1.1137914657592773,0,0,1
1.2318754196166992,0,0,1
1.2528719902038574,1,0,2
1.2638981342315674,0,0,1
1.2018542289733887,0,0,1
1.1418113708496094,0,0,1
1.2909173965454102,3,2,6
2.1105172634124756,11,7,19
1.0467445850372314,0,0,1
1.1638269424438477,2,0,3
1.412003517150879,1,1,3
1.3059461116790771,4,4,9
1.4820711612701416,5,3,9
1.2989411354064941,0,0,1
1.2058393955230713,0,0,1
1.1538059711456299,0,0,1
1.1588234901428223,0,0,1
1.155839204788208,0,0,1
1.2819101810455322,6,1,8
1.147796392440796,1,0,2
1.0567502975463867,0,0,1
1.1107900142669678,1,1,3
1.3889679908752441,8,5,14
1.131786823272705,2,1,4
1.7622640132904053,8,5,14
1.1428122520446777,0,0,1
1.8673276901245117,0,0,1
2.127511739730835,2,1,4
1.322957992553711,0,0,1
1.1437945365905762,1,0,2
1.3189373016357422,0,0,1
1.3449556827545166,2,0,3
2.4277267456054688,8,5,14
1.399972677230835,1,1,3
1.394991397857666,2,0,3
1.2238507270812988,0,0,1
1.4139864444732666,4,4,9
1.8452930450439453,8,6,15
1.4069812297821045,0,0,1
1.1718173027038574,0,0,1
1.1408107280731201,1,1,3
1.559088945388794,8,8,17
1.5310873985290527,5,3,9
1.0137202739715576,0,0,1
1.0297317504882812,0,0,1
1.4610381126403809,4,2,7
1.5841257572174072,7,6,14
1.0987801551818848,0,0,1
1.50406813621521,0,0,1
1.3359484672546387,3,3,7
1.3639686107635498,0,0,1
1.4950613975524902,3,1,5
1.2558925151824951,5,1,7
1.282914400100708,0,0,1
1.2148633003234863,0,0,1
1.496063232421875,2,1,4
1.6952221393585205,3,1,5
1.5380921363830566,2,0,3
1.1848325729370117,0,0,1
1.3939898014068604,2,1,4
1.5511014461517334,0,0,1
2.381690740585327,0,0,1
1.8262979984283447,3,2,6
1.426011323928833,0,0,1
1.47102689743042,6,5,12
1.5000636577606201,0,0,1
1.3169355392456055,0,0,1
1.667184829711914,9,6,16
1.6661827564239502,1,0,2
1.3689723014831543,8,8,17
1.66518235206604,8,5,14
2.298633575439453,0,0,1
1.140810489654541,0,0,1
1.609142780303955,0,0,1
1.4110019207000732,0,0,1
1.8142883777618408,6,4,11
1.7192211151123047,1,0,2
1.5581064224243164,3,3,7
1.2719039916992188,3,0,4
0.9877021312713623,0,0,1
1.236879825592041,3,0,4
1.5981347560882568,0,0,1
1.7762632369995117,1,0,2
1.1658270359039307,1,0,2
1.3409528732299805,0,0,1
1.4520318508148193,1,1,3
1.1818389892578125,4,2,7
1.206857681274414,3,1,5
1.4880375862121582,4,2,7
1.7842679023742676,2,1,4
1.1708128452301025,0,0,1
1.1808216571807861,0,0,1
1.7132182121276855,3,1,5
1.410001277923584,1,1,3
1.3939907550811768,4,0,5
2.050457239151001,8,8,17
1.3309452533721924,0,0,1
1.4350178241729736,0,0,1
1.5390944480895996,0,0,1
2.085482597351074,2,0,3
1.3249406814575195,2,0,3
1.582122802734375,0,0,1
1.277925729751587,0,0,1
1.2779088020324707,0,0,1
1.3479573726654053,3,2,6
1.457036018371582,3,1,5
