runtime,number_of_splits,number_of_backtracks,number_of_simplifications
13.838814735412598,152,145,298
19.055511951446533,259,254,514
17.597479104995728,212,208,421
5.489893913269043,33,30,64
3.0781826972961426,25,21,47
18.58918261528015,203,199,403
1.831298828125,10,6,17
6.07632851600647,38,37,76
1.7172091007232666,3,0,4
8.02168869972229,49,48,98
1.6401641368865967,6,1,8
3.798694610595703,54,51,106
2.7309365272521973,20,17,38
4.93149733543396,51,50,102
5.245719909667969,63,59,123
1.6071388721466064,4,0,5
2.5527923107147217,16,13,30
9.187513828277588,95,89,185
2.3926961421966553,20,16,37
3.2102761268615723,34,32,67
3.2343077659606934,21,13,35
5.359801292419434,91,89,181
7.972672462463379,113,109,223
4.839431524276733,57,55,113
3.9297869205474854,152,150,303
5.798111915588379,59,57,117
4.554229736328125,44,39,84
1.9053330421447754,8,3,12
7.422281980514526,115,114,230
2.784976005554199,18,16,35
3.210275888442993,30,26,57
3.513472557067871,42,39,82
4.23900580406189,41,37,79
9.212515592575073,78,77,156
1.3939883708953857,6,4,11
5.744072675704956,63,60,124
2.7009153366088867,22,17,40
1.8823444843292236,11,7,19
2.1245064735412598,11,9,21
3.617565631866455,40,38,79
3.0171396732330322,15,12,28
3.499481678009033,28,22,51
7.50530481338501,110,108,219
2.3576912879943848,20,18,39
1.225870132446289,6,0,7
4.121903896331787,39,34,74
3.695620059967041,33,30,64
3.0361530780792236,28,27,56
8.935318946838379,118,114,233
3.802677869796753,29,28,58
3.2803263664245605,51,48,100
2.5438032150268555,19,15,35
2.7309372425079346,36,34,71
2.080493688583374,20,16,37
3.4234094619750977,54,47,102
2.143501043319702,23,20,44
3.865741729736328,46,41,88
2.337639570236206,18,15,34
2.797985076904297,17,15,33
1.3689706325531006,8,1,10
5.166664123535156,66,65,132
4.300050258636475,40,35,76
1.7942543029785156,11,7,19
2.1295108795166016,11,8,20
2.62986421585083,24,21,46
2.941086530685425,56,52,109
3.4674596786499023,23,21,45
5.387821435928345,79,72,152
3.3513576984405518,31,28,60
2.7609593868255615,22,19,42
2.653881311416626,16,13,30
4.032859802246094,47,47,95
3.307345390319824,24,17,42
6.035261631011963,51,48,100
4.7884135246276855,59,56,116
6.696749210357666,59,53,113
1.323958158493042,8,0,9
3.4384384155273438,28,24,53
2.9450886249542236,20,18,39
2.268608808517456,12,7,20
1.2188644409179688,3,1,5
2.695911169052124,29,26,56
1.8503122329711914,8,6,15
3.73262882232666,47,43,91
1.376976490020752,10,1,12
1.7642512321472168,17,15,33
1.464020013809204,10,3,14
4.22898006439209,50,49,100
2.8890480995178223,23,21,45
1.223886251449585,8,4,13
1.9593698978424072,16,13,30
1.4650390148162842,8,4,13
1.1488149166107178,2,0,3
3.422426462173462,60,59,120
2.140517234802246,7,6,14
