runtime,number_of_splits,number_of_backtracks,number_of_simplifications
3.1407415866851807,17,12,30
2.5367989540100098,0,0,1
15.336876392364502,57,29,87
1.0637545585632324,0,0,1
1.654172420501709,0,0,1
7.735467433929443,48,37,86
1.151817798614502,0,0,1
1.1728312969207764,0,0,1
1.1438102722167969,0,0,1
6.563654661178589,24,7,32
222.06447792053223,1185,1174,2360
1.6942014694213867,0,0,1
3.2793257236480713,27,12,40
5.930206060409546,35,20,56
2.074469566345215,11,0,12
22.144705533981323,82,67,150
1.5110700130462646,0,0,1
1.1978509426116943,0,0,1
1.053748369216919,0,0,1
1.1017811298370361,0,0,1
0.9856991767883301,0,0,1
2.728935480117798,21,17,39
30.775824785232544,189,154,344
1.1298019886016846,0,0,1
1.5490977764129639,5,0,6
30.558670043945312,212,206,419
6.204400300979614,31,21,53
76.25307559967041,294,257,552
1.2118587493896484,0,0,1
1.285909652709961,0,0,1
2.8199985027313232,22,14,37
1.2528884410858154,0,0,1
2.7489490509033203,21,16,38
1.0597515106201172,0,0,1
72.09112763404846,391,389,781
152.27498936653137,567,547,1115
1.5440778732299805,7,4,12
11.065846681594849,93,86,180
1.1187934875488281,0,0,1
4.06287956237793,30,29,60
424.19481587409973,2429,2406,4836
1.16182541847229,0,0,1
1.1568195819854736,0,0,1
5.380816221237183,37,27,65
14.923562049865723,102,66,169
41.66054368019104,241,223,465
1.0807664394378662,0,0,1
1.181837558746338,0,0,1
103.56945013999939,663,644,1308
20.801748752593994,142,126,269
1.0847697257995605,0,0,1
1.0707578659057617,0,0,1
4.352081298828125,32,29,62
1.112788200378418,0,0,1
15.114736795425415,80,66,147
32.884320974349976,187,172,360
1.047724723815918,0,0,1
1.1247978210449219,0,0,1
21.083935737609863,129,94,224
43.72600865364075,201,183,385
157.07038688659668,936,933,1870
1.897327184677124,0,0,1
3.79569149017334,18,10,29
2.1415209770202637,0,0,1
1.178835391998291,0,0,1
17.164172887802124,55,34,90
2.069467544555664,0,0,1
39.37992715835571,150,115,266
1.368969440460205,0,0,1
1.809281587600708,0,0,1
112.45574808120728,364,335,700
8.431979656219482,45,24,70
9.678860902786255,52,31,84
106.07021903991699,662,646,1309
1.2979204654693604,0,0,1
1.312934160232544,0,0,1
1.8963441848754883,0,0,1
1.3789787292480469,0,0,1
24.930679082870483,114,103,218
3.070174217224121,25,10,36
48.18817377090454,172,148,321
33.27960705757141,161,153,315
1.112788438796997,0,0,1
15.458963394165039,105,67,173
1.2068595886230469,0,0,1
3.08622145652771,20,15,36
2.0524585247039795,15,15,31
1.2899219989776611,0,0,1
2.2656257152557373,9,1,11
5.060588359832764,33,11,45
10.28629446029663,83,65,149
9.313605785369873,52,44,97
18.99346947669983,77,67,145
1.1798324584960938,0,0,1
2.011422634124756,0,0,1
26.675917148590088,133,129,263
2.2886223793029785,19,10,30
9.32060980796814,48,28,77
9.421680927276611,38,24,63
1.2869129180908203,0,0,1
1.2288539409637451,0,0,1
1.4440197944641113,0,0,1
12.963205337524414,76,60,137
8.31089448928833,40,29,70
1.3439435958862305,0,0,1
1.5080430507659912,0,0,1
3.266317129135132,0,0,1
155.04695343971252,848,831,1680
198.77496194839478,1004,985,1990
1.610142707824707,0,0,1
3.569530487060547,24,9,34
1.3649876117706299,0,0,1
25.19186806678772,121,114,236
1.4220118522644043,0,0,1
22.672070026397705,142,139,282
1.8062794208526611,11,4,16
2.5117805004119873,18,16,35
1.333946704864502,0,0,1
3.069174289703369,20,18,39
6.799821376800537,44,39,84
4.960517883300781,35,33,69
20.098252773284912,105,80,186
115.3167769908905,556,528,1085
3.5004830360412598,26,17,44
21.370153188705444,108,97,206
71.22152543067932,373,340,714
1.1558022499084473,0,0,1
13.680739164352417,84,68,153
6.795803546905518,38,29,68
34.05914640426636,214,206,421
3.4244284629821777,31,22,54
8.554065227508545,57,57,115
3.2483036518096924,24,12,37
24.608452081680298,131,126,258
2.024435520172119,0,0,1
2.334655523300171,0,0,1
8.516054630279541,33,25,59
2.012463092803955,0,0,1
8.268859624862671,31,22,54
14.007933139801025,63,47,111
8.161787271499634,26,24,51
61.022273540496826,312,280,593
2.8970537185668945,25,2,28
6.79481840133667,56,49,106
0.9866995811462402,0,0,1
20.084243535995483,141,133,275
0.9937047958374023,0,0,1
81.79702377319336,545,535,1081
21.878515243530273,147,134,282
0.985698938369751,0,0,1
1.0577492713928223,0,0,1
9.424701690673828,56,41,98
5.375814437866211,41,18,60
8.646142482757568,36,8,45
1.443023443222046,6,3,10
1.1007797718048096,0,0,1
22.780155420303345,131,124,256
30.925930738449097,202,200,403
16.32857871055603,107,103,211
1.0267269611358643,0,0,1
1.013700008392334,0,0,1
1.2258679866790771,0,0,1
1.1057844161987305,0,0,1
81.7559597492218,577,556,1134
1.0897712707519531,0,0,1
11.695312738418579,68,57,126
13.858829736709595,58,53,112
4.516201972961426,28,28,57
96.79362416267395,552,537,1090
1.0667550563812256,0,0,1
0.9496738910675049,0,0,1
27.54553484916687,168,158,327
8.473024368286133,56,37,94
1.0017094612121582,0,0,1
13.789763689041138,100,85,186
3.4063973426818848,30,28,59
2.583831548690796,20,11,32
15.174761295318604,102,93,196
28.209004640579224,121,109,231
0.9566783905029297,0,0,1
3.1092042922973633,28,13,42
