runtime,number_of_splits,number_of_backtracks,number_of_simplifications
2.107494831085205,17,12,30
9.011390447616577,57,29,87
7.278161287307739,48,37,86
6.402541637420654,24,7,32
188.13043236732483,1185,1174,2360
3.1552236080169678,27,12,40
5.923200607299805,35,20,56
2.03646183013916,11,0,12
14.095978021621704,82,67,150
2.715907096862793,21,17,39
24.988721132278442,189,154,344
1.394989252090454,5,0,6
21.41018295288086,212,206,419
3.8987808227539062,31,21,53
54.757813453674316,294,257,552
2.317643642425537,22,14,37
2.76196026802063,21,16,38
61.81683874130249,391,389,781
116.12535166740417,567,547,1115
1.3029241561889648,7,4,12
9.143468141555786,93,86,180
3.7826826572418213,30,29,60
379.101842880249,2429,2406,4836
4.9425048828125,37,27,65
12.9721999168396,102,66,169
38.54833698272705,241,223,465
94.03367567062378,663,644,1308
20.851805448532104,142,126,269
4.272029399871826,32,29,62
14.997636556625366,80,66,147
32.67615485191345,187,172,360
21.071961641311646,129,94,224
43.75702977180481,201,183,385
145.67330598831177,936,933,1870
2.1675362586975098,18,10,29
8.951347827911377,55,34,90
19.829061269760132,150,115,266
63.54708242416382,364,335,700
6.04827094078064,45,24,70
6.209421873092651,52,31,84
86.53036284446716,662,646,1309
16.481688022613525,114,103,218
2.6608870029449463,25,10,36
33.55379557609558,172,148,321
24.385293006896973,161,153,315
14.434219121932983,105,67,173
2.61283540725708,20,15,36
1.737231969833374,15,15,31
1.961390733718872,9,1,11
4.785393714904785,33,11,45
9.225541830062866,83,65,149
8.814250707626343,52,44,97
16.247522115707397,77,67,145
17.86064839363098,133,129,263
2.167543888092041,19,10,30
7.118049144744873,48,28,77
7.862594842910767,38,24,63
10.521444320678711,76,60,137
5.903186559677124,40,29,70
108.82815885543823,848,831,1680
161.33939671516418,1004,985,1990
2.6328678131103516,24,9,34
18.774314165115356,121,114,236
19.570863485336304,142,139,282
1.7792785167694092,11,4,16
2.0794761180877686,18,16,35
2.4767563343048096,20,18,39
5.740070581436157,44,39,84
4.240007638931274,35,33,69
17.205202341079712,105,80,186
97.64024233818054,556,528,1085
3.1162092685699463,26,17,44
18.935428142547607,108,97,206
64.38866233825684,373,340,714
12.434799909591675,84,68,153
6.181384086608887,38,29,68
29.867180585861206,214,206,421
2.961099147796631,31,22,54
7.461308717727661,57,57,115
2.765963077545166,24,12,37
20.20833110809326,131,126,258
3.9928314685821533,33,25,59
3.9217796325683594,31,22,54
6.751787185668945,63,47,111
4.007842063903809,26,24,51
