runtime,number_of_splits,number_of_backtracks,number_of_simplifications
1.5614404678344727,6,5,12
1.2228689193725586,0,0,1
16.25855302810669,106,105,212
0.9917047023773193,0,0,1
1.1377904415130615,0,0,1
5.052590608596802,24,23,48
1.004714012145996,0,0,1
1.0797672271728516,0,0,1
1.0897750854492188,0,0,1
10.678605318069458,57,56,114
9.941047668457031,61,59,121
0.9687068462371826,0,0,1
2.5478103160858154,16,15,32
4.054881572723389,16,15,32
2.141523599624634,11,11,23
6.875885248184204,36,35,72
1.095778465270996,0,0,1
1.1358065605163574,0,0,1
1.0457429885864258,0,0,1
1.0417401790618896,0,0,1
0.9937052726745605,0,0,1
1.5190787315368652,5,4,10
12.963212728500366,86,84,171
0.9846999645233154,0,0,1
1.378978967666626,5,5,11
2.0114285945892334,8,6,15
2.210571527481079,11,10,22
378.487975358963,2190,2188,4379
0.9396677017211914,0,0,1
1.035736083984375,0,0,1
1.6581785678863525,9,8,18
1.0497217178344727,0,0,1
1.5550918579101562,6,5,12
0.949674129486084,0,0,1
16.259552717208862,103,102,206
387.74262261390686,1194,1191,2386
1.3609673976898193,4,3,8
6.392542839050293,56,55,112
1.0277295112609863,0,0,1
1.2449030876159668,2,1,4
363.6577010154724,2221,2218,4440
1.0137205123901367,0,0,1
1.0057132244110107,0,0,1
2.546812057495117,11,10,22
10.15721845626831,80,79,160
5.682036876678467,20,18,39
0.960681676864624,0,0,1
0.9596812725067139,0,0,1
11.192937850952148,61,59,121
10.321315288543701,68,67,136
1.0227267742156982,0,0,1
0.9956891536712646,0,0,1
1.5691142082214355,4,3,8
0.9526760578155518,0,0,1
10.161202430725098,45,44,90
20.343457221984863,137,135,273
0.9746925830841064,0,0,1
1.0417401790618896,0,0,1
40.58482885360718,240,238,479
63.88739991188049,336,335,672
14.878572940826416,93,91,185
0.9616825580596924,0,0,1
1.6491718292236328,9,8,18
0.9957075119018555,0,0,1
0.9947061538696289,0,0,1
7.149080276489258,36,35,72
1.0507464408874512,0,0,1
17.167200326919556,144,142,287
1.0617547035217285,0,0,1
0.9616832733154297,0,0,1
292.82872891426086,1849,1847,3697
9.56679630279541,83,82,166
6.437574863433838,53,52,106
15.853266477584839,107,104,212
1.1778371334075928,0,0,1
0.9726912975311279,0,0,1
1.0717616081237793,0,0,1
1.0917751789093018,0,0,1
9.735918760299683,71,70,142
2.291628122329712,16,15,32
