runtime,number_of_splits,number_of_backtracks,number_of_simplifications
1.032052755355835,1,1,3
1.072073221206665,0,0,1
1.4801032543182373,9,8,18
0.9880683422088623,0,0,1
1.0924627780914307,0,0,1
1.1080782413482666,2,1,4
0.9720680713653564,0,0,1
1.068075180053711,0,0,1
1.024071216583252,0,0,1
1.056075096130371,2,0,3
1.1080775260925293,2,0,3
0.9480676651000977,0,0,1
1.084092617034912,2,1,4
1.1000761985778809,1,1,3
1.1400606632232666,3,3,7
1.1080586910247803,1,0,2
1.1120591163635254,0,0,1
1.1080763339996338,0,0,1
1.020071268081665,0,0,1
1.048072338104248,0,0,1
0.9600675106048584,0,0,1
1.1600816249847412,2,1,4
1.2551469802856445,1,1,3
1.0120885372161865,0,0,1
0.9360826015472412,1,0,2
1.1360790729522705,3,2,6
1.07914400100708,2,2,5
2.0777058601379395,6,3,10
1.0830073356628418,0,0,1
1.0760736465454102,0,0,1
1.1280968189239502,2,1,4
1.0753111839294434,0,0,1
1.0637052059173584,2,1,4
0.9480655193328857,0,0,1
1.810614824295044,10,8,19
2.6121814250946045,17,16,34
1.0320713520050049,1,1,3
1.095329761505127,1,1,3
0.994966983795166,0,0,1
1.020052194595337,2,1,4
3.3722338676452637,29,29,59
1.0000693798065186,0,0,1
1.0041906833648682,0,0,1
1.0280706882476807,1,0,2
1.1640806198120117,2,1,4
1.1840832233428955,2,1,4
0.9240643978118896,0,0,1
0.9400649070739746,0,0,1
1.9761369228363037,14,12,27
1.5841102600097656,11,8,20
1.0760746002197266,0,0,1
1.024071455001831,0,0,1
1.1317451000213623,4,3,8
0.9800856113433838,0,0,1
1.4481000900268555,6,4,11
1.824126958847046,18,17,36
0.9720864295959473,0,0,1
1.0560722351074219,0,0,1
1.3480920791625977,8,6,15
2.3161609172821045,14,13,28
2.9722068309783936,27,26,54
0.972048282623291,0,0,1
1.0280883312225342,1,1,3
1.0120694637298584,0,0,1
1.012070894241333,0,0,1
1.2280857563018799,4,2,7
1.0440728664398193,0,0,1
1.2400856018066406,5,5,11
1.0560729503631592,0,0,1
0.95206618309021,0,0,1
4.708494663238525,57,54,112
1.328092336654663,8,7,16
1.0200705528259277,2,1,4
1.2683906555175781,5,3,9
1.0840752124786377,0,0,1
1.0120699405670166,0,0,1
1.1640806198120117,0,0,1
1.1960837841033936,0,0,1
1.7961254119873047,12,11,24
1.4381961822509766,2,1,4
1.4066472053527832,5,4,10
1.3120906352996826,8,5,14
0.95206618309021,0,0,1
1.3400928974151611,6,5,12
1.0760562419891357,0,0,1
1.2400975227355957,2,0,3
1.2182254791259766,2,2,5
1.128077745437622,0,0,1
1.111332654953003,2,1,4
1.0280897617340088,1,0,2
1.69211745262146,15,13,29
1.2145254611968994,2,0,3
1.3321106433868408,2,1,4
1.012068510055542,0,0,1
1.0720725059509277,0,0,1
1.8081252574920654,12,11,24
1.0520546436309814,1,1,3
1.1440973281860352,1,0,2
1.3361101150512695,4,3,8
1.104076623916626,0,0,1
1.0080699920654297,0,0,1
1.088075876235962,0,0,1
1.2441048622131348,4,3,8
1.1160962581634521,3,3,7
1.084075927734375,0,0,1
1.0080711841583252,0,0,1
0.9960691928863525,0,0,1
5.608389139175415,83,81,165
4.071163177490234,36,34,71
1.096076488494873,0,0,1
1.0600917339324951,1,0,2
0.9120631217956543,0,0,1
1.3880963325500488,7,7,15
1.064091682434082,0,0,1
1.6681361198425293,12,11,24
1.0713870525360107,1,1,3
1.044053316116333,3,2,6
1.1400601863861084,0,0,1
1.036071538925171,4,2,7
1.1160776615142822,3,2,6
1.184063196182251,5,4,10
1.7161192893981934,13,13,27
1.8994250297546387,10,9,20
1.0120503902435303,2,1,4
1.384096622467041,10,7,18
2.9322023391723633,26,25,52
0.9840686321258545,0,0,1
1.0680742263793945,2,1,4
1.3241102695465088,8,5,14
1.380077600479126,5,4,10
0.9840691089630127,1,0,2
1.1080951690673828,3,0,4
1.1240787506103516,4,1,6
1.584111213684082,10,9,20
0.9920690059661865,0,0,1
1.0000689029693604,0,0,1
1.1800808906555176,5,4,10
1.0360710620880127,0,0,1
1.008051872253418,1,0,2
1.3681130409240723,14,13,28
1.0960938930511475,1,0,2
4.028262615203857,42,41,84
1.012070894241333,1,1,3
1.0520539283752441,2,2,5
0.9680652618408203,0,0,1
0.9840676784515381,2,0,3
0.9469869136810303,0,0,1
2.028139352798462,15,14,30
1.1913704872131348,1,0,2
0.9353029727935791,0,0,1
0.9360651969909668,0,0,1
1.0793297290802002,1,0,2
1.036072015762329,3,2,6
1.029179573059082,2,1,4
1.0680923461914062,2,2,5
1.012070655822754,0,0,1
1.0662117004394531,2,1,4
2.782313346862793,35,33,69
1.0160698890686035,1,1,3
0.9520664215087891,0,0,1
0.959735631942749,0,0,1
