runtime,number_of_splits,number_of_backtracks,number_of_simplifications
1.037735939025879,1,1,3
1.4620375633239746,12,9,22
1.0227253437042236,1,0,2
1.6641817092895508,9,8,18
4.363093137741089,45,42,88
1.1688103675842285,4,3,8
1.227870225906372,3,2,6
1.0817863941192627,1,1,3
1.485069990158081,6,6,13
1.4319970607757568,3,2,6
1.1388256549835205,2,1,4
0.9156484603881836,2,1,4
1.4790489673614502,1,0,2
1.6912176609039307,3,3,7
5.698040008544922,46,45,92
1.0547471046447754,1,0,2
1.1308019161224365,3,3,7
1.114790678024292,1,1,3
1.4660398960113525,12,9,22
1.0067129135131836,1,1,3
1.042738676071167,1,0,2
1.0587499141693115,2,1,4
2.7529523372650146,26,24,51
1.1708300113677979,8,6,15
1.6761879920959473,2,2,5
3.61356258392334,34,33,68
3.658576250076294,25,23,49
1.703226089477539,3,1,5
1.4239916801452637,3,2,6
2.128509521484375,14,12,27
2.5077598094940186,14,12,27
1.3239378929138184,5,3,9
1.2298531532287598,5,2,8
4.630282163619995,64,63,128
1.0066957473754883,1,1,3
1.1318206787109375,2,1,4
1.6761703491210938,15,14,30
3.2813265323638916,30,28,59
1.1097688674926758,3,1,5
0.9566967487335205,1,0,2
2.1975584030151367,23,22,46
1.406015396118164,9,7,17
1.1388261318206787,4,2,7
1.852330207824707,15,14,30
1.2879130840301514,5,3,9
1.5020461082458496,8,7,16
1.1488146781921387,2,2,5
1.1167919635772705,1,0,2
1.1358051300048828,2,1,4
1.2999403476715088,1,0,2
1.184840202331543,4,3,8
1.0727424621582031,3,1,5
2.6858863830566406,24,23,48
1.1397898197174072,1,0,2
1.0077323913574219,3,2,6
1.2759041786193848,5,3,9
1.690197229385376,8,7,16
1.3729743957519531,8,7,16
0.9886822700500488,2,1,4
5.024563312530518,49,46,96
1.9393761157989502,11,8,20
1.080765724182129,3,3,7
0.9386653900146484,4,1,6
1.0937747955322266,1,1,3
1.0537471771240234,3,3,7
1.0317308902740479,1,0,2
1.0017096996307373,1,1,3
1.1308014392852783,7,6,14
1.1277997493743896,4,3,8
1.8222918510437012,8,5,14
3.1702489852905273,22,22,45
1.1518352031707764,3,3,7
2.138516664505005,21,19,41
1.831298828125,5,4,10
1.7682547569274902,13,9,23
1.4390182495117188,3,0,4
1.9333724975585938,7,4,12
1.470043420791626,1,0,2
1.9203605651855469,5,3,9
1.1368062496185303,5,5,11
1.2588920593261719,4,2,7
1.2909154891967773,10,8,19
1.069758653640747,3,3,7
1.7992758750915527,11,8,20
1.178835153579712,2,1,4
4.003840923309326,45,44,90
1.0046918392181396,2,2,5
0.9466538429260254,1,0,2
1.8763298988342285,8,8,17
1.7632505893707275,16,14,31
1.2168450355529785,5,4,10
2.002420663833618,19,19,39
1.182837963104248,7,5,13
1.3059260845184326,12,11,24
1.099762201309204,2,2,5
1.058750867843628,2,1,4
1.7982754707336426,6,4,11
1.0467424392700195,2,2,5
1.573133945465088,10,8,19
1.4700238704681396,12,11,24
1.1828393936157227,3,2,6
0.9756908416748047,3,2,6
2.5498080253601074,22,20,43
0.8906323909759521,2,0,3
1.0567493438720703,5,3,9
2.1555418968200684,30,28,59
1.027709722518921,5,5,11
1.0437586307525635,3,1,5
1.2068374156951904,3,2,6
1.3889851570129395,4,3,8
1.0527465343475342,1,0,2
3.4064154624938965,28,27,56
1.0197415351867676,1,0,2
1.0417578220367432,3,2,6
1.0357153415679932,2,1,4
5.39684534072876,63,63,127
0.9957056045532227,5,3,9
1.0067315101623535,5,3,9
0.929678201675415,2,1,4
0.8746204376220703,1,0,2
0.9226541519165039,2,1,4
1.0427401065826416,2,1,4
1.464038372039795,9,7,17
1.0497260093688965,3,2,6
1.1788535118103027,4,3,8
0.9146487712860107,3,1,5
1.1167922019958496,3,2,6
1.2489047050476074,7,6,14
1.3539416790008545,6,5,12
0.9837164878845215,2,2,5
0.993722677230835,2,1,4
1.445023775100708,11,9,21
1.008695125579834,1,1,3
1.0857698917388916,3,2,6
1.0417373180389404,3,1,5
1.6792082786560059,12,11,24
1.1638069152832031,3,2,6
1.0747618675231934,5,2,8
1.3689887523651123,8,8,17
1.0257272720336914,1,0,2
0.9786932468414307,3,1,5
1.0897727012634277,2,2,5
1.0977778434753418,3,2,6
0.9997081756591797,2,0,3
0.9546759128570557,2,1,4
1.1077847480773926,5,4,10
1.0607523918151855,4,2,7
3.139244556427002,45,41,87
1.1307835578918457,5,4,10
1.1308019161224365,3,2,6
0.9476704597473145,2,2,5
1.2729213237762451,10,10,21
1.3389310836791992,11,10,22
1.6001331806182861,8,6,15
1.7052078247070312,16,12,29
0.9216351509094238,1,0,2
0.9877004623413086,1,0,2
1.0577495098114014,3,2,6
2.3026320934295654,19,18,38
1.5981330871582031,12,11,24
0.9396665096282959,1,1,3
1.0547480583190918,2,1,4
2.3236477375030518,36,35,72
1.6291561126708984,10,6,17
1.051746129989624,6,5,12
2.0584583282470703,20,20,41
1.573115587234497,15,14,30
1.0037109851837158,1,0,2
1.0147194862365723,2,0,3
1.1678099632263184,10,6,17
2.1725597381591797,23,22,46
1.0777649879455566,4,3,8
0.9126279354095459,1,1,3
1.075744390487671,3,1,5
0.9596796035766602,1,0,2
1.003711223602295,3,1,5
1.243882179260254,6,3,10
1.034733772277832,4,1,6
1.0257275104522705,2,1,4
1.0807671546936035,3,1,5
1.8993279933929443,16,14,31
1.4320154190063477,15,14,30
0.9917209148406982,2,2,5
0.99568772315979,2,1,4
1.0217235088348389,2,1,4
0.9987082481384277,1,0,2
1.1788361072540283,6,5,12
0.9937047958374023,2,1,4
1.0327329635620117,6,3,10
1.1148087978363037,1,1,3
0.9617002010345459,2,1,4
0.9826788902282715,4,2,7
1.1137890815734863,7,6,14
1.1328034400939941,4,2,7
1.7462568283081055,16,13,30
0.9516732692718506,2,2,5
1.7852659225463867,9,8,18
1.2578918933868408,12,8,21
1.0397365093231201,3,0,4
0.9967062473297119,1,0,2
1.1407907009124756,3,2,6
0.9917025566101074,2,1,4
0.9967060089111328,2,2,5
1.2508864402770996,7,5,13
0.9676852226257324,3,1,5
0.9947047233581543,2,1,4
2.1875505447387695,26,24,51
1.26389479637146,8,6,15
1.0367350578308105,1,0,2
1.030730962753296,1,0,2
1.350975751876831,6,5,12
1.3309621810913086,4,2,7
1.3309621810913086,6,4,11
2.22757887840271,25,23,49
1.3729546070098877,4,3,8
1.0557656288146973,3,2,6
1.0017099380493164,4,3,8
1.0457394123077393,3,1,5
1.015718936920166,3,2,6
0.9056398868560791,2,0,3
1.0837678909301758,2,1,4
1.188826084136963,3,2,6
1.2098758220672607,5,5,11
0.9126291275024414,1,0,2
1.0247068405151367,2,1,4
1.3189339637756348,7,6,14
1.1928458213806152,5,4,10
1.0607516765594482,3,2,6
0.9476897716522217,3,2,6
1.3929893970489502,10,8,19
4.192972898483276,40,39,80
0.9737088680267334,1,0,2
0.9756917953491211,2,1,4
0.9356629848480225,2,0,3
1.0096971988677979,3,2,6
0.9446859359741211,4,2,7
1.077763557434082,4,3,8
1.0036933422088623,2,1,4
1.1218135356903076,3,3,7
1.024707555770874,1,0,2
1.104783535003662,2,1,4
0.9636826515197754,1,0,2
1.2228670120239258,5,4,10
0.9216525554656982,3,2,6
1.2238678932189941,11,9,21
1.1548187732696533,4,1,6
0.9706883430480957,1,0,2
0.9556770324707031,1,0,2
1.2068557739257812,5,3,9
1.0307307243347168,1,1,3
1.013718605041504,2,1,4
0.8776216506958008,1,1,3
1.1808373928070068,7,6,14
1.135787010192871,5,4,10
1.2168622016906738,7,7,15
1.3649475574493408,9,9,19
1.0867884159088135,5,4,10
1.686194896697998,14,11,26
1.3529596328735352,12,9,22
0.9897019863128662,2,1,4
1.8973631858825684,12,11,24
1.1618423461914062,5,3,9
1.103783369064331,4,3,8
1.6211504936218262,18,17,36
1.1387884616851807,2,2,5
1.2428812980651855,7,5,13
1.6291356086730957,10,8,19
1.1708300113677979,8,7,16
0.9206345081329346,2,1,4
0.8886113166809082,3,1,5
1.3109304904937744,9,8,18
1.4210076332092285,17,16,34
0.9276578426361084,2,1,4
0.9296410083770752,3,1,5
1.772256851196289,20,19,40
0.918633222579956,2,0,3
0.8335914611816406,1,1,3
1.121795654296875,6,4,11
1.3009231090545654,10,8,19
1.1037819385528564,4,3,8
1.1618237495422363,7,5,13
0.9046413898468018,1,0,2
1.387983798980713,14,12,27
0.8536055088043213,3,2,6
0.9486720561981201,3,2,6
1.2939174175262451,11,8,20
0.9216535091400146,1,0,2
1.4530296325683594,7,6,14
1.0337324142456055,5,5,11
0.8756210803985596,1,0,2
1.0837876796722412,2,2,5
0.9686684608459473,4,2,7
0.9176485538482666,4,4,9
0.9236540794372559,1,0,2
1.0207240581512451,4,1,6
0.8666143417358398,2,1,4
0.945652961730957,2,0,3
0.8716185092926025,1,1,3
0.9066421985626221,2,1,4
0.9226717948913574,1,1,3
0.9786934852600098,1,0,2
0.9786925315856934,4,1,6
1.1078038215637207,3,2,6
0.9736895561218262,2,0,3
1.027709722518921,3,2,6
1.088789463043213,3,1,5
0.9616818428039551,2,2,5
1.0927748680114746,6,6,13
1.2138593196868896,4,2,7
2.4627466201782227,36,35,72
1.0527455806732178,6,5,12
0.9306774139404297,2,0,3
1.217881441116333,5,4,10
1.2788879871368408,11,8,20
1.3759567737579346,11,8,20
0.8716189861297607,1,0,2
1.0046939849853516,2,1,4
1.2018532752990723,10,8,19
1.111769437789917,5,5,11
0.936664342880249,1,0,2
1.5110714435577393,13,12,26
0.9246747493743896,3,2,6
2.066446542739868,18,15,34
0.9356629848480225,1,0,2
0.950674295425415,1,1,3
0.9937229156494141,3,2,6
0.9046416282653809,1,1,3
2.3486478328704834,24,22,47
0.9627017974853516,2,0,3
0.965684175491333,5,3,9
1.0027294158935547,4,4,9
0.9596796035766602,4,1,6
1.5601048469543457,10,10,21
1.7822644710540771,25,23,49
0.9216535091400146,3,1,5
1.293916940689087,6,4,11
2.5408034324645996,30,26,57
1.2939167022705078,1,1,3
1.1848208904266357,5,3,9
2.6308655738830566,17,16,34
1.2208664417266846,2,1,4
1.2248682975769043,3,1,5
2.0974864959716797,16,14,31
1.588125467300415,11,11,23
1.9503824710845947,17,16,34
1.5150749683380127,10,8,19
4.628280878067017,43,43,87
1.7002055644989014,9,8,18
2.626862049102783,33,29,63
1.152818202972412,3,1,5
1.1338045597076416,1,0,2
3.7076287269592285,48,45,94
0.9486725330352783,3,1,5
1.1518168449401855,3,1,5
1.0497453212738037,2,1,4
0.8866281509399414,1,0,2
1.0977795124053955,3,3,7
1.041738748550415,2,1,4
1.5981323719024658,8,7,16
1.345954418182373,11,10,22
1.4250106811523438,10,7,18
1.2648968696594238,7,6,14
1.0457408428192139,1,0,2
0.9977076053619385,3,2,6
1.0397365093231201,1,1,3
1.0677564144134521,1,0,2
1.212860107421875,13,12,26
1.8022780418395996,13,10,24
1.2939174175262451,9,7,17
0.9276571273803711,3,2,6
1.1658267974853516,7,7,15
1.1247966289520264,5,5,11
1.2168629169464111,4,3,8
1.065755844116211,4,2,7
1.0527327060699463,2,2,5
0.8996381759643555,1,1,3
1.9954149723052979,17,16,34
1.1948466300964355,5,3,9
1.1768345832824707,2,1,4
1.0687580108642578,3,2,6
0.9967052936553955,1,0,2
1.4460079669952393,9,7,17
1.1808373928070068,2,1,4
1.6912176609039307,17,17,35
1.6181485652923584,17,14,32
0.9676673412322998,2,2,5
0.9596982002258301,3,2,6
1.031749963760376,2,1,4
1.3139503002166748,8,6,15
0.9056422710418701,1,0,2
1.2499046325683594,8,5,14
1.0527458190917969,4,3,8
0.9816970825195312,4,2,7
0.8455982208251953,1,0,2
0.9696877002716064,1,0,2
2.720947504043579,34,32,67
1.3659496307373047,12,12,25
0.9376652240753174,1,0,2
1.3209359645843506,4,3,8
1.3909881114959717,14,11,26
0.979712963104248,2,0,3
0.954674243927002,2,2,5
1.2228665351867676,7,7,15
0.9696874618530273,2,2,5
1.510070562362671,12,12,25
0.9726884365081787,1,0,2
1.2769038677215576,12,9,22
0.9116466045379639,1,1,3
1.0157194137573242,4,2,7
2.0014193058013916,20,18,39
1.0897727012634277,7,5,13
0.972689151763916,4,3,8
2.072469711303711,19,16,36
1.175835371017456,6,6,13
0.9926855564117432,3,2,6
0.9416854381561279,2,0,3
1.6912176609039307,16,15,32
1.0567302703857422,4,1,6
1.023725986480713,2,0,3
1.0787642002105713,4,3,8
1.4700431823730469,15,14,30
1.0777642726898193,1,1,3
1.9443788528442383,23,22,46
3.6075754165649414,50,48,99
1.6341402530670166,14,11,26
1.0797650814056396,7,5,13
1.3689899444580078,14,12,27
1.01774001121521,4,2,7
1.2298712730407715,13,11,25
1.1137897968292236,4,1,6
0.9156479835510254,2,1,4
1.248884916305542,5,4,10
0.9476721286773682,2,1,4
0.9546761512756348,3,2,6
1.4250106811523438,9,8,18
1.4650382995605469,13,11,25
1.0877699851989746,3,1,5
1.0247268676757812,1,1,3
1.4079983234405518,8,6,15
0.986699104309082,4,2,7
1.2849102020263672,6,4,11
1.3109281063079834,7,6,14
1.1197764873504639,3,1,5
1.4860727787017822,14,11,26
1.3049261569976807,5,4,10
1.1448121070861816,1,1,3
1.3569629192352295,4,3,8
1.1167919635772705,1,0,2
1.4130008220672607,8,6,15
0.9856991767883301,3,1,5
1.2538890838623047,2,2,5
1.0797648429870605,1,0,2
1.216862440109253,3,2,6
1.6251516342163086,9,7,17
1.4780476093292236,12,11,24
1.0917737483978271,2,0,3
1.0127191543579102,1,1,3
1.1318020820617676,4,2,7
1.0547480583190918,1,0,2
1.0707592964172363,4,4,9
1.110806941986084,3,1,5
1.1908628940582275,4,1,6
0.9306426048278809,3,2,6
1.2478656768798828,6,6,13
0.9656655788421631,2,1,4
0.9156491756439209,1,0,2
1.1288187503814697,6,5,12
0.8986372947692871,1,0,2
1.6722040176391602,8,6,15
2.4547221660614014,28,25,54
1.0107159614562988,1,0,2
0.9016213417053223,3,3,7
1.0747623443603516,3,3,7
3.2092573642730713,43,42,86
4.527210474014282,56,52,109
1.646167516708374,11,10,22
2.0244345664978027,15,14,30
1.0247256755828857,2,0,3
1.1017816066741943,5,4,10
1.4210078716278076,8,5,14
1.748239517211914,11,10,22
0.9236550331115723,1,0,2
1.9793846607208252,22,20,43
0.9677045345306396,3,2,6
1.1177735328674316,4,3,8
0.9146480560302734,1,1,3
0.9806954860687256,5,4,10
0.9606988430023193,3,2,6
0.9686863422393799,1,1,3
0.9136478900909424,1,1,3
1.1818397045135498,9,5,15
1.1388070583343506,1,0,2
1.398010015487671,6,6,13
1.4130022525787354,11,9,21
1.9814047813415527,24,21,46
0.9146485328674316,1,0,2
1.121795654296875,8,7,16
2.404705286026001,24,21,46
0.9997096061706543,3,2,6
1.0817663669586182,4,2,7
2.1275086402893066,15,13,29
1.3059263229370117,3,2,6
0.9486727714538574,1,1,3
5.56694769859314,87,84,172
1.5490984916687012,8,5,14
0.9977054595947266,1,0,2
1.1007804870605469,2,1,4
2.011408567428589,11,11,23
0.9476721286773682,2,0,3
1.0017096996307373,2,1,4
3.3243582248687744,25,25,51
2.3456642627716064,24,20,45
1.0977776050567627,1,1,3
0.9506733417510986,2,1,4
1.7952728271484375,19,15,35
1.1528174877166748,4,3,8
1.548079013824463,14,12,27
1.2098402976989746,6,4,11
1.1017811298370361,6,5,12
2.318662405014038,25,21,47
1.0087151527404785,3,1,5
1.1678471565246582,9,7,17
1.0177209377288818,5,2,8
1.1618211269378662,3,1,5
0.9396653175354004,4,3,8
0.8716363906860352,2,2,5
0.9596798419952393,4,1,6
0.9146292209625244,2,2,5
1.0977771282196045,6,5,12
1.4960582256317139,18,15,34
2.0784733295440674,23,22,46
1.380979299545288,12,10,23
0.8646140098571777,1,0,2
1.9814040660858154,25,25,51
0.9546771049499512,3,1,5
1.3839564323425293,6,6,13
1.0317308902740479,5,3,9
0.9466705322265625,5,5,11
3.2102766036987305,43,41,85
1.1588218212127686,8,5,14
0.9176514148712158,4,2,7
1.3279240131378174,9,8,18
2.032421350479126,20,20,41
0.9506549835205078,1,0,2
0.8786039352416992,1,0,2
0.9686863422393799,2,1,4
1.6711668968200684,14,13,28
1.2859113216400146,8,8,17
0.9266564846038818,2,1,4
0.9836959838867188,3,0,4
0.9196338653564453,3,1,5
1.1058039665222168,6,6,13
0.8766214847564697,2,0,3
2.2545790672302246,25,24,50
